dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
200,0,7.465201,5.957301,5.377140,0.866307,35.554559,0.068332,57.024168,7.325953,18.165933,19.980319,3.524878,0.024816,6.179557,55.368784
200,0,2.279714,6.057266,5.154465,0.710041,34.456894,0.063148,50.128704,6.582121,11.778124,20.714103,3.686935,0.013407,5.359924,48.253084
200,0,2.441641,6.342319,5.416684,0.885514,33.355676,0.063774,49.748213,7.597248,18.702828,13.225358,2.843849,0.017449,5.796167,48.232864
200,0,2.190875,5.684923,5.261657,0.925512,42.348762,0.060991,59.195993,6.235838,22.115693,19.606848,1.705360,0.020356,7.005454,57.011872
200,0,2.367075,5.228560,5.660334,0.435767,41.824599,0.059587,57.072216,8.871808,21.362759,15.575571,2.337762,0.015670,6.764627,55.007694
200,0,2.639149,7.735831,6.127299,0.272385,34.348471,0.065115,54.565296,5.323146,18.266919,7.079561,2.831617,0.012282,6.560395,40.301777
200,0,2.569183,11.236176,7.378196,0.557211,47.709348,0.065911,72.362108,7.600409,25.119450,23.905847,2.472789,0.023617,10.337556,70.258147
200,0,2.168152,7.993596,5.238259,0.542351,53.017485,0.061715,70.794390,9.150323,28.243963,21.347100,3.469557,0.021507,6.203305,68.514624
200,25,2.240887,5.425500,5.167275,0.123841,33.834769,0.074736,50.223104,4.578123,12.344542,17.175022,1.874547,0.021665,7.434709,44.390185
200,25,3.675287,6.192535,6.424657,0.756378,42.539626,0.092193,62.953638,4.804687,14.919610,19.392069,2.309738,0.024009,8.287345,50.532258
200,25,2.254046,6.281473,6.076726,1.479688,38.395343,0.072179,57.933012,11.433923,20.799245,13.056215,1.084062,0.016567,8.798103,55.593934
200,25,2.276462,6.324986,5.532656,1.555369,31.137335,0.072458,49.380410,4.086895,14.259065,19.443510,2.398430,0.012764,6.665608,47.462744
200,25,2.106165,5.142496,5.176504,1.121265,47.947843,0.068552,64.478157,6.262531,23.390922,22.862901,3.187469,0.018129,6.196569,62.837393
200,25,2.025685,5.350597,5.442917,0.879765,30.092653,0.068717,47.222573,11.550028,17.411838,5.997169,3.455629,0.015400,7.319049,46.141629
200,25,2.039362,5.124312,5.021220,0.920288,48.193986,0.068329,64.859577,6.596504,23.807417,22.419968,2.699817,0.020342,6.673665,63.130060
200,25,2.053679,5.235944,5.944162,0.957658,51.614729,0.069516,68.182232,10.584152,23.803706,21.274334,2.400427,0.021321,7.996877,66.171022
200,25,2.293120,5.363517,4.971880,0.470551,48.316847,0.069099,64.635293,7.973409,23.516309,20.640301,1.816608,0.020559,6.888802,62.025448
200,25,2.066114,5.300233,5.172670,0.718773,33.418411,0.108380,49.578853,2.742967,10.617849,17.937451,2.451397,6.892478,6.434551,47.784093
200,25,2.065461,5.216081,8.136675,0.155796,53.171302,0.070442,75.530973,7.225391,28.802912,22.036392,2.120919,0.019653,12.415273,73.092514
200,25,2.712141,10.945675,5.653551,0.328742,33.411467,0.068500,57.286102,5.277460,18.252276,21.495869,1.682300,0.017034,7.231062,55.816837
200,25,3.143694,6.191594,5.908790,0.330101,39.730453,0.072815,58.471281,7.317653,16.864909,22.103667,2.612447,0.024563,7.271235,57.110087
200,25,2.896345,7.142504,5.833576,0.332470,46.002534,0.067730,65.482541,5.719407,26.485456,21.708075,1.692570,0.016690,7.052181,63.962790
200,25,2.383719,6.539598,5.661400,0.316282,20.541252,0.073327,37.804011,4.441887,12.000375,9.956558,2.478449,0.008249,6.687854,36.341347
200,25,2.145540,5.372329,5.138818,0.252855,22.015831,0.072520,37.917954,2.771046,10.472935,13.516314,2.349611,0.010046,6.783447,36.573125
200,25,2.021266,5.090537,5.172591,0.839716,48.410903,0.073314,64.986744,6.944366,23.281718,23.167892,1.896239,0.020080,6.974259,63.437864
200,25,2.125939,5.275957,5.306886,0.268354,51.288371,0.069182,67.972176,6.335019,26.345113,23.043036,1.615770,0.022278,7.370112,65.439205
